team,opponent,date,city,venue,competition,home_away,source
England,Croatia,2026-06-17,Dallas,Dallas Stadium,FIFA World Cup 2026,neutral,fixtures.csv
Germany,Côte d'Ivoire,2026-06-20,Toronto,Toronto Stadium,FIFA World Cup 2026,neutral,fixtures.csv
France,Iraq,2026-06-22,Philadelphia,Philadelphia Stadium,FIFA World Cup 2026,neutral,fixtures.csv
Portugal,Uzbekistan,2026-06-23,Houston,Houston Stadium,FIFA World Cup 2026,neutral,fixtures.csv
Spain,Saudi Arabia,2026-06-21,Atlanta,Atlanta Stadium,FIFA World Cup 2026,neutral,fixtures.csv
Argentina,Austria,2026-06-22,Dallas,Dallas Stadium,FIFA World Cup 2026,neutral,fixtures.csv
Netherlands,Sweden,2026-06-20,Houston,Houston Stadium,FIFA World Cup 2026,neutral,fixtures.csv
